,Date,volume
877,2011/05/30,5183
878,2011/05/31,5913
879,2011/06/01,6352
880,2011/06/02,6946
881,2011/06/03,8239
882,2011/06/04,8587
883,2011/06/05,8384
884,2011/06/06,9470
885,2011/06/07,8832
886,2011/06/08,11630
887,2011/06/09,11954
888,2011/06/10,11046
889,2011/06/11,10645
890,2011/06/12,12207
891,2011/06/13,11019
892,2011/06/14,13911
893,2011/06/15,12326
894,2011/06/16,12566
895,2011/06/17,11110
896,2011/06/18,11366
897,2011/06/19,11249
898,2011/06/20,10991
899,2011/06/21,9451
900,2011/06/22,11259
901,2011/06/23,10178
902,2011/06/24,10706
903,2011/06/25,9550
904,2011/06/26,9836
905,2011/06/27,11582
906,2011/06/28,10559
907,2011/06/29,9830
908,2011/06/30,9445
909,2011/07/01,10430
910,2011/07/02,7849
911,2011/07/03,8199
912,2011/07/04,9434
913,2011/07/05,8826
914,2011/07/06,10362
915,2011/07/07,9049
916,2011/07/08,8363
917,2011/07/09,7702
918,2011/07/10,8255
919,2011/07/11,10366
920,2011/07/12,8006
921,2011/07/13,9002
922,2011/07/14,8572
923,2011/07/15,7836
924,2011/07/16,8719
925,2011/07/17,8209
926,2011/07/18,8806
927,2011/07/19,9043
928,2011/07/20,8714
929,2011/07/21,8011
930,2011/07/22,8840
931,2011/07/23,7269
932,2011/07/24,8053
933,2011/07/25,9320
934,2011/07/26,8194
935,2011/07/27,7821
936,2011/07/28,7964
937,2011/07/29,7151
938,2011/07/30,6057
939,2011/07/31,7924
940,2011/08/01,8030
941,2011/08/02,8663
942,2011/08/03,7580
943,2011/08/04,8178
944,2011/08/05,7220
945,2011/08/06,6712
946,2011/08/07,6584
947,2011/08/08,7131
948,2011/08/09,9073
949,2011/08/10,8183
950,2011/08/11,7459
951,2011/08/12,7034
952,2011/08/13,7268
953,2011/08/14,7339
954,2011/08/15,8250
955,2011/08/16,9493
956,2011/08/17,7586
957,2011/08/18,7271
958,2011/08/19,7483
959,2011/08/20,7039
960,2011/08/21,7507
961,2011/08/22,7646
962,2011/08/23,7122
963,2011/08/24,7233
964,2011/08/25,7106
965,2011/08/26,7274
966,2011/08/27,6239
967,2011/08/28,5473
968,2011/08/29,7956
969,2011/08/30,7658
970,2011/08/31,7137
971,2011/09/01,7074
972,2011/09/02,6870
973,2011/09/03,5780
974,2011/09/04,7124
975,2011/09/05,6883
976,2011/09/06,7679
977,2011/09/07,6954
978,2011/09/08,6368
979,2011/09/09,7222
980,2011/09/10,5860
981,2011/09/11,6318
982,2011/09/12,6442
983,2011/09/13,6377
984,2011/09/14,6054
985,2011/09/15,6318
986,2011/09/16,6090
987,2011/09/17,5320
988,2011/09/18,5828
989,2011/09/19,6526
990,2011/09/20,8005
991,2011/09/21,7538
992,2011/09/22,5991
993,2011/09/23,6195
994,2011/09/24,5599
995,2011/09/25,5585
996,2011/09/26,5505
997,2011/09/27,5968
998,2011/09/28,5870
999,2011/09/29,5464
1000,2011/09/30,5743
1001,2011/10/01,5231
1002,2011/10/02,4914
1003,2011/10/03,6376
1004,2011/10/04,5697
1005,2011/10/05,5626
1006,2011/10/06,5784
1007,2011/10/07,5536
1008,2011/10/08,5283
1009,2011/10/09,5330
1010,2011/10/10,5759
1011,2011/10/11,5837
1012,2011/10/12,5829
1013,2011/10/13,4887
1014,2011/10/14,5972
